activity_id,week,location_id,co_share_group
A014,15,PLAT:ALP:S07:EB,g90
A014,15,PLAT:ALP:S08:EB,g90
A014,15,SEC:ALP:S07_S08:EB,g90
A040,15,PLAT:BET:H01:EB,g91
A040,15,PLAT:BET:H02:EB,g91
A040,15,PLAT:BET:S15:EB,g91
A040,15,PLAT:BET:S16:EB,g91
A040,15,SEC:BET:H01_H02:EB,g91
A040,15,SEC:BET:H02_S15:EB,g91
A040,15,SEC:BET:S15_S16:EB,g91
A011,15,PLAT:BET:S15:EB,g92
A011,15,PLAT:BET:S16:EB,g92
A011,15,PLAT:BET:S17:EB,g92
A011,15,SEC:BET:S15_S16:EB,g92
A011,15,SEC:BET:S16_S17:EB,g92
A070,15,PLAT:ALP:H01:WB,g93
A070,15,PLAT:ALP:S03:WB,g93
A070,15,PLAT:ALP:S04:WB,g93
A070,15,SEC:ALP:S03_S04:WB,g93
A070,15,SEC:ALP:S04_H01:WB,g93
A059,15,PLAT:ALP:S06:WB,g94
A059,15,PLAT:ALP:S07:WB,g94
A059,15,PLAT:ALP:S08:WB,g94
A059,15,SEC:ALP:S06_S07:WB,g94
A059,15,SEC:ALP:S07_S08:WB,g94
A014,16,PLAT:ALP:S07:EB,g95
A014,16,PLAT:ALP:S08:EB,g95
A014,16,SEC:ALP:S07_S08:EB,g95
A040,16,PLAT:BET:H01:EB,g96
A040,16,PLAT:BET:H02:EB,g96
A040,16,PLAT:BET:S15:EB,g96
A040,16,PLAT:BET:S16:EB,g96
A040,16,SEC:BET:H01_H02:EB,g96
A040,16,SEC:BET:H02_S15:EB,g96
A040,16,SEC:BET:S15_S16:EB,g96
A008,16,PLAT:BET:S17:EB,g97
A008,16,PLAT:BET:S18:EB,g97
A008,16,SEC:BET:S17_S18:EB,g97
A011,16,PLAT:BET:S15:EB,g98
A011,16,PLAT:BET:S16:EB,g98
A011,16,PLAT:BET:S17:EB,g98
A011,16,SEC:BET:S15_S16:EB,g98
A011,16,SEC:BET:S16_S17:EB,g98
A070,16,PLAT:ALP:H01:WB,g99
A070,16,PLAT:ALP:S03:WB,g99
A070,16,PLAT:ALP:S04:WB,g99
A070,16,SEC:ALP:S03_S04:WB,g99
A070,16,SEC:ALP:S04_H01:WB,g99
A059,16,PLAT:ALP:S06:WB,g100
A059,16,PLAT:ALP:S07:WB,g100
A059,16,PLAT:ALP:S08:WB,g100
A059,16,SEC:ALP:S06_S07:WB,g100
A059,16,SEC:ALP:S07_S08:WB,g100
A064,16,PLAT:BET:S15:WB,g101
A064,16,PLAT:BET:S16:WB,g101
A064,16,SEC:BET:S15_S16:WB,g101
A017,17,PLAT:BET:H01:EB,g102
A017,17,PLAT:BET:H02:EB,g102
A017,17,PLAT:BET:S15:EB,g102
A017,17,PLAT:BET:S16:EB,g102
A017,17,SEC:BET:H01_H02:EB,g102
A017,17,SEC:BET:H02_S15:EB,g102
A017,17,SEC:BET:S15_S16:EB,g102
A014,17,PLAT:ALP:S07:EB,g103
A014,17,PLAT:ALP:S08:EB,g103
A014,17,SEC:ALP:S07_S08:EB,g103
A008,17,PLAT:BET:S17:EB,g104
A008,17,PLAT:BET:S18:EB,g104
A008,17,SEC:BET:S17_S18:EB,g104
A070,17,PLAT:ALP:H01:WB,g105
A070,17,PLAT:ALP:S03:WB,g105
A070,17,PLAT:ALP:S04:WB,g105
A070,17,SEC:ALP:S03_S04:WB,g105
A070,17,SEC:ALP:S04_H01:WB,g105
A071,17,PLAT:BET:S15:EB,g106
A071,17,PLAT:BET:S16:EB,g106
A071,17,PLAT:BET:S17:EB,g106
A071,17,SEC:BET:S15_S16:EB,g106
A071,17,SEC:BET:S16_S17:EB,g106
A059,17,PLAT:ALP:S06:WB,g107
A059,17,PLAT:ALP:S07:WB,g107
A059,17,PLAT:ALP:S08:WB,g107
A059,17,SEC:ALP:S06_S07:WB,g107
A059,17,SEC:ALP:S07_S08:WB,g107
A054,17,PLAT:ALP:H01:EB,g108
A054,17,PLAT:ALP:H02:EB,g108
A054,17,PLAT:ALP:S04:EB,g108
A054,17,PLAT:ALP:S05:EB,g108
A054,17,SEC:ALP:H01_H02:EB,g108
A054,17,SEC:ALP:H02_S05:EB,g108
A054,17,SEC:ALP:S04_H01:EB,g108
A017,18,PLAT:BET:H01:EB,g109
A017,18,PLAT:BET:H02:EB,g109
